,0
1757,80
1758,82
1759,83
1760,83
1761,84
1762,87
1763,90
1764,88
1765,85
1766,85
1767,85
1768,86
1769,87
1770,90
1771,93
1772,90
1773,90
1774,89
1775,91
1776,93
1777,96
1778,97
1779,91
1780,89
1781,93
1782,97
1783,99
1784,97
1785,93
1786,92
1787,91
1788,89
1789,87
1790,83
1791,83
1792,83
1793,82
1794,82
1795,82
1796,84
1797,87
1798,90
1799,92
1800,86
1801,87
1802,88
1803,88
1804,88
1805,87
1806,87
1807,87
1808,87
1809,87
1810,87
1811,87
1812,88
1813,88
1814,90
1815,89
1816,90
1817,95
1818,98
1819,90
1820,89
1821,90
1822,90
1823,87
1824,85
1825,85
1826,85
1827,85
1828,85
1829,85
1830,85
1831,87
1832,88
1833,89
1834,91
1835,91
1836,89
1837,90
1838,93
1839,96
1840,98
1841,96
1842,96
1843,92
1844,93
1845,94
1846,94
1847,93
1848,92
1849,92
1850,93
1851,93
1852,93
1853,93
1854,93
1855,94
1856,100
1857,102
1858,103
1859,102
1860,106
1861,110
1862,117
1863,123
1864,129
1865,132
1866,134
1867,134
1868,138
1869,140
1870,144
1871,147
1872,149
1873,151
1874,153
1875,155
1876,156
1877,156
1878,154
1879,154
1880,153
1881,152
1882,152
1883,153
1884,155
1885,148
1886,141
1887,138
1888,139
1889,138
1890,132
1891,128
1892,123
1893,117
1894,113
1895,110
1896,105
1897,104
1898,98
1899,100
1900,93
1901,90
1902,89
1903,87
1904,87
1905,86
1906,85
1907,86
1908,86
1909,84
1910,84
1911,84
1912,84
1913,78
1914,78
1915,79
1916,78
1917,79
1918,81
1919,82
1920,83
1921,85
1922,89
1923,88
1924,87
1925,91
1926,92
1927,86
1928,86
1929,86
1930,88
1931,88
1932,93
1933,99
1934,88
1935,86
1936,86
1937,83
1938,81
1939,81
1940,81
1941,81
1942,81
1943,82
1944,82
1945,81
1946,81
1947,81
1948,81
1949,81
1950,81
1951,82
1952,82
1953,82
1954,82
1955,83
1956,84
1957,84
1958,90
1959,92
1960,93
1961,91
1962,90
1963,90
1964,88
1965,88
1966,88
1967,88
1968,90
1969,91
1970,91
1971,94
1972,99
1973,100
1974,97
1975,91
1976,90
1977,93
1978,93
1979,86
1980,85
1981,85
1982,84
1983,83
1984,83
1985,83
1986,85
1987,85
1988,83
1989,83
1990,84
1991,85
1992,91
